time,pressure,volume
0,18.12983377,140.871151
0.001,19.422128131,141.33499376
0.002,19.553581453,141.78257679
0.003,19.728226727,142.19692528
0.004,19.852760202,142.58393861
0.005,19.960300471,142.94725112
0.006,20.069155122,143.28706451
0.007,20.17532013,143.60357326
0.008,20.272323371,143.89787187
0.009,20.357669054,144.17151367
0.01,20.431652146,144.42606549
0.011,20.495406444,144.66293789
0.012,20.550046328,144.88337142
0.013,20.596599994,145.08845264
0.014,20.636120122,145.27911701
0.015,20.669666435,145.45614882
0.016,20.698164947,145.62019662
0.017,20.722273202,145.77180747
0.018,20.74234601,145.91146878
0.019,20.758506696,146.03964299
0.02,20.770775747,146.15678584
0.021,20.779195067,146.26334718
0.022,20.78390633,146.35975974
0.023,20.785171261,146.44642351
0.024,20.783340922,146.52369305
0.025,20.778796667,146.59187223
0.026,20.771886106,146.65121762
0.027,20.762872052,146.70194926
0.028,20.751913732,146.74426495
0.029,20.739079124,146.77835395
0.03,20.724378787,146.80440726
0.031,20.707806838,146.82262516
0.032,20.689389398,146.83323065
0.033,20.669340126,146.83659636
0.034,20.655205474,146.83659704
0.035,20.659306984,146.83659771
0.036,20.658915254,146.83659839
0.037,20.661397544,146.83659906
0.038,20.665929705,146.83659974
0.039,20.672969514,146.83660041
0.04,20.683028617,146.83660108
0.041,20.696375362,146.83660175
0.042,20.71315073,146.83660241
0.043,20.733468346,146.83660308
0.044,20.757457513,146.83660374
0.045,20.785274962,146.8366044
0.046,20.817105343,146.83660505
0.047,20.853161282,146.83660571
0.048,20.893684085,146.83660636
0.049,20.938941261,146.836607
0.05,20.989222891,146.83660765
0.051,21.044836618,146.83660829
0.052,21.106101238,146.83660893
0.053,21.173340784,146.83660957
0.054,21.246883713,146.8366102
0.055,21.327064982,146.83661082
0.056,21.414236843,146.83661145
0.057,21.508778954,146.83661207
0.058,21.611089945,146.83661268
0.059,21.721591702,146.83661329
0.06,21.840729277,146.8366139
0.061,21.968966424,146.8366145
0.062,22.10678186,146.83661509
0.063,22.254672824,146.83661568
0.064,22.41314926,146.83661627
0.065,22.58273601,146.83661684
0.066,22.763977973,146.83661741
0.067,22.957437539,146.83661798
0.068,23.163690184,146.83661853
0.069,23.383319709,146.83661908
0.07,23.616924359,146.83661962
0.071,23.865113607,146.83662016
0.072,24.128511676,146.83662068
0.073,24.407754093,146.83662119
0.074,24.703501756,146.8366217
0.075,25.016435149,146.83662219
0.076,25.347229917,146.83662268
0.077,25.696586581,146.83662315
0.078,26.065211323,146.83662362
0.079,26.453827558,146.83662407
0.08,26.863164526,146.83662451
0.081,27.293938909,146.83662493
0.082,27.746871557,146.83662534
0.083,28.222693866,146.83662574
0.084,28.722128402,146.83662612
0.085,29.245903437,146.83662649
0.086,29.794752755,146.83662684
0.087,30.369428295,146.83662717
0.088,30.970689725,146.83662749
0.089,31.5992881,146.83662779
0.09,32.255983508,146.83662807
0.091,32.941536489,146.83662833
0.092,33.656715889,146.83662857
0.093,34.402279457,146.83662879
0.094,35.178953954,146.83662898
0.095,35.987484942,146.83662916
0.096,36.828607552,146.83662931
0.097,37.703020235,146.83662943
0.098,38.611371676,146.83662953
0.099,39.55433163,146.83662961
0.1,40.532585607,146.83662966
0.101,41.546746289,146.83662967
0.102,42.59743387,146.83662966
0.103,43.685220525,146.83662962
0.104,44.810656735,146.83662955
0.105,45.974257711,146.83662945
0.106,47.176522156,146.83662931
0.107,48.417905011,146.83662914
0.108,49.698830717,146.83662893
0.109,51.019702709,146.83662869
0.11,52.380874438,146.83662841
0.111,53.782666026,146.8366281
0.112,55.225367254,146.83662774
0.113,56.709257369,146.83662734
0.114,58.234560671,146.8366269
0.115,59.801462069,146.83662642
0.116,61.410123907,146.8366259
0.117,63.060667033,146.83662533
0.118,64.753146784,146.83662472
