time,pressure,volume
0,17.890839086,140.871151
0.001,17.934817816,140.87115161
0.002,17.94178067,140.87115221
0.003,17.944648396,140.87115281
0.004,17.943379071,140.87115342
0.005,17.940020154,140.87115402
0.006,17.935276324,140.87115462
0.007,17.929917546,140.87115522
0.008,17.924939848,140.87115583
0.009,17.921259612,140.87115643
0.01,17.919501562,140.87115703
0.011,17.919871799,140.87115763
0.012,17.922128469,140.87115823
0.013,17.925709337,140.87115883
0.014,17.929913772,140.87115943
0.015,17.934057322,140.87116003
0.016,17.937621693,140.87116063
0.017,17.940342052,140.87116123
0.018,17.942269008,140.87116183
0.019,17.94366705,140.87116243
0.02,17.944879774,140.87116303
0.021,17.946219503,140.87116363
0.022,17.947899013,140.87116423
0.023,17.950015661,140.87116483
0.024,17.952576131,140.87116542
0.025,17.955541186,140.87116602
0.026,17.958869116,140.87116662
0.027,17.962544954,140.87116722
0.028,17.966590257,140.87116781
0.029,17.971059779,140.87116841
0.03,17.976036617,140.87116901
0.031,17.981620205,140.8711696
0.032,17.987923633,140.8711702
0.033,17.995072639,140.87117079
0.034,18.003200465,140.87117139
0.035,18.012445315,140.87117198
0.036,18.022950609,140.87117258
0.037,18.034869729,140.87117317
0.038,18.048368831,140.87117377
0.039,18.06362479,140.87117436
0.04,18.080822312,140.87117495
0.041,18.10015317,140.87117554
0.042,18.121817108,140.87117613
0.043,18.146021625,140.87117672
0.044,18.172982471,140.87117731
0.045,18.202922997,140.8711779
0.046,18.236071892,140.87117848
0.047,18.272664352,140.87117907
0.048,18.312944103,140.87117965
0.049,18.357160342,140.87118024
0.05,18.405568654,140.87118082
0.051,18.458432302,140.8711814
0.052,18.516018223,140.87118197
0.053,18.5786014,140.87118255
0.054,18.646467422,140.87118312
0.055,18.719913325,140.87118369
0.056,18.799247964,140.87118426
0.057,18.884792047,140.87118483
0.058,18.976876723,140.87118539
0.059,19.075842187,140.87118595
0.06,19.18203974,140.87118651
0.061,19.295833998,140.87118706
0.062,19.417609396,140.87118761
0.063,19.547765091,140.87118816
0.064,19.686717753,140.8711887
0.065,19.834907156,140.87118924
0.066,19.992795425,140.87118977
0.067,20.160862635,140.8711903
0.068,20.339612064,140.87119082
0.069,20.529560452,140.87119134
0.07,20.731235109,140.87119186
0.071,20.945179566,140.87119236
0.072,21.17196412,140.87119286
0.073,21.412166574,140.87119336
0.074,21.666386379,140.87119384
0.075,21.935221414,140.87119432
0.076,22.219280727,140.87119479
0.077,22.519179685,140.87119525
0.078,22.835547256,140.87119571
0.079,23.169059126,140.87119615
0.08,23.520424556,140.87119659
0.081,23.890363748,140.87119701
0.082,24.2796273,140.87119743
0.083,24.688984094,140.87119783
0.084,25.119224572,140.87119822
0.085,25.571151521,140.8711986
0.086,26.045586583,140.87119896
0.087,26.54336464,140.87119932
0.088,27.065314167,140.87119965
0.089,27.612308388,140.87119998
0.09,28.185265693,140.87120029
0.091,28.785133455,140.87120058
0.092,29.412844277,140.87120085
0.093,30.069328452,140.87120111
0.094,30.755538551,140.87120135
0.095,31.472496052,140.87120157
0.096,32.221230236,140.87120177
0.097,33.002775712,140.87120195
0.098,33.818172231,140.8712021
0.099,34.668462919,140.87120224
0.1,35.554697113,140.87120235
0.101,36.477972923,140.87120243
0.102,37.439280798,140.87120249
0.103,38.439658964,140.87120252
0.104,39.480194791,140.87120253
0.105,40.561934674,140.8712025
0.106,41.685837332,140.87120245
0.107,42.852938353,140.87120237
0.108,44.064223501,140.87120225
0.109,45.320647999,140.8712021
0.11,46.623145264,140.87120191
0.111,47.972617391,140.87120169
0.112,49.369976618,140.87120143
0.113,50.816078871,140.87120114
0.114,52.311767538,140.8712008
0.115,53.857881304,140.87120042
0.116,55.45519139,140.8712
0.117,57.104436296,140.87119954
0.118,58.806319487,140.87119903
0.119,60.561486974,140.87119848
0.12,62.370556302,140.87119787
0.121,64.234071941,140.87119722
