time,pressure,volume
0,15.322936678,140.871151
0.001,15.361729775,140.87115166
0.002,15.367688318,140.87115232
0.003,15.370134003,140.87115298
0.004,15.367629317,140.87115364
0.005,15.363095733,140.87115429
0.006,15.357156698,140.87115495
0.007,15.350096136,140.87115561
0.008,15.342574125,140.87115627
0.009,15.335594289,140.87115693
0.01,15.33021493,140.87115759
0.011,15.327256673,140.87115825
0.012,15.32707462,140.87115891
0.013,15.329478082,140.87115958
0.014,15.333841733,140.87116024
0.015,15.339319527,140.8711609
0.016,15.345015324,140.87116156
0.017,15.350152936,140.87116222
0.018,15.354206705,140.87116288
0.019,15.356957112,140.87116354
0.02,15.358537919,140.87116421
0.021,15.359324206,140.87116487
0.022,15.359776355,140.87116553
0.023,15.360328783,140.87116619
0.024,15.361309596,140.87116686
0.025,15.362909283,140.87116752
0.026,15.365191327,140.87116818
0.027,15.368129923,140.87116884
0.028,15.371657785,140.87116951
0.029,15.375708251,140.87117017
0.03,15.380245515,140.87117084
0.031,15.385274465,140.8711715
0.032,15.39083822,140.87117216
0.033,15.397005698,140.87117283
0.034,15.4038713,140.87117349
0.035,15.411543056,140.87117416
0.036,15.420135587,140.87117482
0.037,15.429767268,140.87117548
0.038,15.440556555,140.87117615
0.039,15.452621257,140.87117681
0.04,15.466078351,140.87117747
0.041,15.481049948,140.87117814
0.042,15.497668724,140.8711788
0.043,15.516076655,140.87117946
0.044,15.536421655,140.87118012
0.045,15.558854727,140.87118079
0.046,15.583529429,140.87118145
0.047,15.610599672,140.87118211
0.048,15.640221815,140.87118277
0.049,15.672559032,140.87118342
0.05,15.707779582,140.87118408
0.051,15.746051786,140.87118474
0.052,15.787548673,140.87118539
0.053,15.832451327,140.87118605
0.054,15.880943116,140.8711867
0.055,15.933210515,140.87118735
0.056,15.989448552,140.871188
0.057,16.049854048,140.87118865
0.058,16.114626796,140.87118929
0.059,16.183974348,140.87118994
0.06,16.258108372,140.87119058
0.061,16.337248938,140.87119122
0.062,16.421624452,140.87119186
0.063,16.51147291,140.87119249
0.064,16.607046328,140.87119312
0.065,16.708608004,140.87119375
0.066,16.816426868,140.87119438
0.067,16.930777842,140.871195
0.068,17.051948649,140.87119562
0.069,17.180237185,140.87119623
0.07,17.31595665,140.87119684
0.071,17.45943553,140.87119745
0.072,17.611012014,140.87119805
0.073,17.771043666,140.87119865
0.074,17.939910369,140.87119924
