time,pressure,volume
0,20.942383568,140.871151
0.001,20.983234715,140.87115152
0.002,20.989580716,140.87115205
0.003,20.989426071,140.87115257
0.004,20.98522584,140.87115309
0.005,20.979609411,140.87115361
0.006,20.972914357,140.87115413
0.007,20.965828348,140.87115466
0.008,20.959433861,140.87115518
0.009,20.954753918,140.8711557
0.01,20.952514468,140.87115622
0.011,20.952940163,140.87115674
0.012,20.955694943,140.87115726
0.013,20.959989957,140.87115778
0.014,20.964821547,140.8711583
0.015,20.969277381,140.87115883
0.016,20.972769216,140.87115935
0.017,20.97513239,140.87115987
0.018,20.976612477,140.87116039
0.019,20.9776601,140.87116091
0.02,20.978726573,140.87116143
0.021,20.9801369,140.87116195
0.022,20.982043582,140.87116247
0.023,20.984452126,140.87116299
0.024,20.987284159,140.8711635
0.025,20.990442308,140.87116402
0.026,20.993857077,140.87116454
0.027,20.997507665,140.87116506
0.028,21.001420475,140.87116558
0.029,21.005656157,140.8711661
0.03,21.010293941,140.87116662
0.031,21.015419543,140.87116714
0.032,21.021120193,140.87116765
0.033,21.027483485,140.87116817
0.034,21.034599654,140.87116869
0.035,21.042563463,140.8711692
0.036,21.051476957,140.87116972
0.037,21.061449929,140.87117024
0.038,21.072599608,140.87117075
0.039,21.085049378,140.87117127
0.04,21.098927017,140.87117178
0.041,21.114365119,140.87117229
0.042,21.131502444,140.87117281
0.043,21.150481758,140.87117332
0.044,21.171449491,140.87117383
0.045,21.194556543,140.87117434
0.046,21.219956888,140.87117485
0.047,21.247805708,140.87117536
0.048,21.27826013,140.87117587
0.049,21.311481237,140.87117637
0.05,21.347636039,140.87117688
0.051,21.386899026,140.87117738
0.052,21.429449524,140.87117788
0.053,21.475470508,140.87117838
0.054,21.52514751,140.87117888
0.055,21.578670591,140.87117938
0.056,21.636237477,140.87117988
0.057,21.698050493,140.87118037
0.058,21.764312816,140.87118086
0.059,21.835230556,140.87118135
0.06,21.911010891,140.87118183
0.061,21.991866388,140.87118232
0.062,22.078016488,140.8711828
0.063,22.16968391,140.87118327
0.064,22.267100262,140.87118375
0.065,22.370504314,140.87118422
0.066,22.480139358,140.87118469
0.067,22.596259616,140.87118515
0.068,22.71912828,140.87118561
0.069,22.849016464,140.87118607
0.07,22.986199989,140.87118652
0.071,23.130963016,140.87118696
0.072,23.283596784,140.87118741
0.073,23.444407252,140.87118785
0.074,23.613713097,140.87118828
0.075,23.791841212,140.8711887
0.076,23.979128838,140.87118913
0.077,24.175939397,140.87118954
0.078,24.382646587,140.87118995
0.079,24.599637626,140.87119035
0.08,24.827319323,140.87119075
0.081,25.066113943,140.87119114
0.082,25.316450377,140.87119152
0.083,25.578773466,140.87119189
0.084,25.853555396,140.87119226
0.085,26.141282728,140.87119262
0.086,26.442452522,140.87119297
0.087,26.757574859,140.87119331
0.088,27.087162284,140.87119364
0.089,27.431741386,140.87119396
0.09,27.791835899,140.87119427
0.091,28.167983783,140.87119457
0.092,28.560744331,140.87119485
0.093,28.970690591,140.87119513
0.094,29.398438647,140.87119539
0.095,29.844617389,140.87119565
0.096,30.309881625,140.87119588
0.097,30.794882487,140.87119611
0.098,31.300304921,140.87119632
0.099,31.826839268,140.87119651
0.1,32.375205268,140.87119669
0.101,32.946156912,140.87119686
0.102,33.540442613,140.87119701
0.103,34.158834727,140.87119714
0.104,34.802108717,140.87119725
0.105,35.471069704,140.87119734
0.106,36.166537503,140.87119742
0.107,36.889355045,140.87119747
0.108,37.640442811,140.87119751
0.109,38.420691743,140.87119752
0.11,39.231045391,140.87119751
0.111,40.072431088,140.87119748
