time,pressure,volume
0,18.809926836,140.871151
0.001,18.846920256,140.87115159
0.002,18.852217349,140.87115218
0.003,18.854774439,140.87115277
0.004,18.853742585,140.87115336
0.005,18.8507673,140.87115394
0.006,18.847154148,140.87115453
0.007,18.843848013,140.87115512
0.008,18.841493335,140.87115571
0.009,18.840440513,140.87115629
0.01,18.840741044,140.87115688
0.011,18.842154231,140.87115747
0.012,18.844250102,140.87115805
0.013,18.846578791,140.87115864
0.014,18.848789534,140.87115923
0.015,18.850681635,140.87115981
0.016,18.852225638,140.8711604
0.017,18.853521864,140.87116098
0.018,18.854723004,140.87116157
0.019,18.855966404,140.87116216
0.02,18.857336867,140.87116274
0.021,18.858861973,140.87116333
0.022,18.86052986,140.87116391
0.023,18.862314142,140.8711645
0.024,18.8641947,140.87116508
0.025,18.866168078,140.87116567
0.026,18.8682488,140.87116625
0.027,18.870465124,140.87116684
0.028,18.872852875,140.87116742
0.029,18.875450739,140.871168
0.03,18.878297676,140.87116859
0.031,18.881432921,140.87116917
0.032,18.884898152,140.87116976
0.033,18.888741894,140.87117034
0.034,18.893018879,140.87117093
0.035,18.897791258,140.87117151
0.036,18.903128857,140.8711721
0.037,18.909106228,140.87117268
0.038,18.91580026,140.87117326
0.039,18.92329081,140.87117385
0.04,18.931660793,140.87117443
0.041,18.940997239,140.87117502
0.042,18.951391087,140.8711756
0.043,18.962937006,140.87117618
0.044,18.97573311,140.87117677
0.045,18.989879993,140.87117735
0.046,19.005480237,140.87117793
0.047,19.02263882,140.87117852
0.048,19.041462246,140.8711791
0.049,19.062058731,140.87117968
0.05,19.084538403,140.87118026
0.051,19.109013803,140.87118084
0.052,19.135600675,140.87118142
0.053,19.164417779,140.871182
0.054,19.195587078,140.87118258
0.055,19.229234079,140.87118316
0.056,19.265485932,140.87118373
0.057,19.304471381,140.87118431
0.058,19.346319469,140.87118489
0.059,19.391160072,140.87118546
0.06,19.439125071,140.87118603
0.061,19.490347569,140.87118661
0.062,19.544963277,140.87118718
0.063,19.603110062,140.87118775
0.064,19.664927543,140.87118831
0.065,19.730559621,140.87118888
0.066,19.800155578,140.87118944
0.067,19.873869076,140.87119001
0.068,19.951855931,140.87119057
0.069,20.034273492,140.87119112
0.07,20.121282138,140.87119168
0.071,20.213045358,140.87119223
0.072,20.309733634,140.87119278
0.073,20.411524389,140.87119333
0.074,20.51860046,140.87119388
0.075,20.631147739,140.87119442
0.076,20.749354022,140.87119496
0.077,20.873415446,140.8711955
0.078,21.003534385,140.87119603
0.079,21.139919216,140.87119656
0.08,21.282787102,140.87119708
0.081,21.432363814,140.8711976
0.082,21.588888041,140.87119812
0.083,21.752606315,140.87119863
0.084,21.923771294,140.87119914
0.085,22.102644881,140.87119964
0.086,22.289492235,140.87120014
0.087,22.484592313,140.87120063
0.088,22.688236327,140.87120112
0.089,22.900716121,140.8712016
0.09,23.122333176,140.87120208
0.091,23.353397209,140.87120254
0.092,23.594220602,140.87120301
0.093,23.845125396,140.87120346
0.094,24.106438615,140.87120391
0.095,24.378495887,140.87120435
0.096,24.6616396,140.87120478
0.097,24.95621397,140.87120521
0.098,25.262577286,140.87120562
0.099,25.581093884,140.87120603
0.1,25.912128228,140.87120643
0.101,26.256054784,140.87120682
0.102,26.613259106,140.8712072
0.103,26.984121285,140.87120756
0.104,27.369031127,140.87120792
0.105,27.76837549,140.87120827
0.106,28.182536085,140.8712086
0.107,28.611910976,140.87120893
0.108,29.056903202,140.87120924
0.109,29.517903387,140.87120954
0.11,29.995302136,140.87120982
0.111,30.489512913,140.87121009
0.112,31.000945744,140.87121035
0.113,31.529994099,140.87121059
0.114,32.077027425,140.87121082
0.115,32.642380652,140.87121103
0.116,33.22640655,140.87121123
