time,pressure,volume
0,16.219548821,140.871151
0.001,16.719730805,141.04622383
0.002,16.785933312,141.2194662
0.003,16.862307685,141.38515746
0.004,16.917612414,141.54585101
0.005,16.964947422,141.70324637
0.006,17.013187526,141.8574827
0.007,17.062402776,142.00845099
0.008,17.110785615,142.15626364
0.009,17.157660976,142.30115975
0.01,17.203466885,142.44333892
0.011,17.248930153,142.5828969
0.012,17.29447285,142.71985359
0.013,17.340036896,142.85421666
0.014,17.385200965,142.98603541
0.015,17.429407398,143.11542503
0.016,17.472164748,143.24256165
0.017,17.513173945,143.36765806
0.018,17.552369331,143.4909323
0.019,17.589889614,143.61257904
0.02,17.626007005,143.73275024
0.021,17.661042584,143.85154755
0.022,17.695293373,143.96902514
0.023,17.728989014,144.08519931
0.024,17.762277142,144.20006056
0.025,17.795242188,144.31358383
0.026,17.827932778,144.42573478
0.027,17.860393911,144.53647186
0.028,17.892687671,144.64574489
0.029,17.924896528,144.75349284
0.03,17.957118526,144.85964203
0.031,17.989446479,144.9641067
0.032,18.021954051,145.06679173
0.033,18.054690058,145.16759628
0.034,18.087679839,145.26641731
0.035,18.12093373,145.36315209
0.036,18.154456578,145.45769936
0.037,18.188257319,145.54995911
0.038,18.222361711,145.63983091
0.039,18.256817719,145.72721111
0.04,18.291693433,145.81199036
0.041,18.327077669,145.89405121
0.042,18.363072948,145.97326643
0.043,18.39978753,146.04949839
0.044,18.437327021,146.12259976
0.045,18.475797136,146.19241409
0.046,18.515303757,146.25877611
0.047,18.555946659,146.32151282
0.048,18.597822919,146.38044441
0.049,18.64102974,146.43538468
0.05,18.685666799,146.48614102
0.051,18.731830453,146.53251511
0.052,18.779614908,146.57430361
0.053,18.829118601,146.61129819
0.054,18.880440307,146.64328585
0.055,18.933677945,146.67004984
0.056,18.988933721,146.69137075
0.057,19.046318611,146.70702936
0.058,19.105976455,146.71681686
0.059,19.168473515,146.72059602
0.06,19.24412814,146.72059669
0.061,19.330496587,146.72059734
0.062,19.423623122,146.72059799
0.063,19.524185345,146.72059864
0.064,19.632137072,146.72059928
0.065,19.747807021,146.72059992
0.066,19.87166694,146.72060055
0.067,20.004129646,146.72060118
0.068,20.145535494,146.72060181
0.069,20.296193781,146.72060243
0.07,20.456418635,146.72060304
0.071,20.626555664,146.72060365
0.072,20.806976521,146.72060425
0.073,20.998082103,146.72060485
0.074,21.200306476,146.72060544
0.075,21.414114976,146.72060603
0.076,21.639990413,146.7206066
0.077,21.878458088,146.72060718
0.078,22.130067802,146.72060774
0.079,22.395375362,146.72060829
0.08,22.674951505,146.72060884
0.081,22.969373519,146.72060937
0.082,23.279212764,146.7206099
0.083,23.605065817,146.72061042
0.084,23.947558161,146.72061093
0.085,24.307347503,146.72061142
0.086,24.685133978,146.72061191
0.087,25.081643841,146.72061238
0.088,25.497648573,146.72061285
0.089,25.933937968,146.7206133
0.09,26.391330905,146.72061373
0.091,26.87071675,146.72061415
0.092,27.373001272,146.72061456
0.093,27.899108644,146.72061495
0.094,28.449971073,146.72061533
0.095,29.026564361,146.72061569
0.096,29.629822649,146.72061603
0.097,30.26078925,146.72061636
0.098,30.920475941,146.72061666
0.099,31.609944318,146.72061695
0.1,32.330300693,146.72061722
0.101,33.082625753,146.72061746
