time,pressure,volume
0,17.583398818,140.871151
0.001,18.253260488,141.12153066
0.002,18.366817279,141.37117584
0.003,18.488412569,141.61275616
0.004,18.586495463,141.848686
0.005,18.677097165,142.08041555
0.006,18.770687578,142.30754627
0.007,18.866112456,142.52953492
0.008,18.960138376,142.74626701
0.009,19.051157146,142.95790172
0.01,19.13882595,143.16467186
0.011,19.223168002,143.36680702
0.012,19.304183156,143.56452835
0.013,19.38186154,143.75805254
0.014,19.456310309,143.94758055
0.015,19.527814209,144.13327548
0.016,19.596784431,144.31524415
0.017,19.663637569,144.49353328
0.018,19.728681017,144.66814199
0.019,19.792053952,144.83904372
0.02,19.853735133,145.00620898
0.021,19.913602459,145.16962122
0.022,19.971511622,145.3292822
0.023,20.02737048,145.48520714
0.024,20.081182698,145.63741301
0.025,20.133056935,145.78590467
0.026,20.183180785,145.93066366
0.027,20.231772195,146.07164312
0.028,20.279028449,146.20876967
0.029,20.325084846,146.34195104
0.03,20.369993899,146.47108713
0.031,20.413727762,146.59608129
0.032,20.456200655,146.71684883
0.033,20.497299405,146.83332167
0.034,20.536917486,146.94544827
0.035,20.574980152,147.05318993
0.036,20.611458061,147.15651494
0.037,20.646366637,147.25539248
0.038,20.679756376,147.34978771
0.039,20.711699049,147.43965865
0.04,20.742274835,147.52495499
0.041,20.77156062,147.60561838
0.042,20.799623747,147.68158388
0.043,20.826521837,147.75278153
0.044,20.852302488,147.81913787
0.045,20.877008018,147.88057705
0.046,20.900677544,147.93702143
0.047,20.92334903,147.98839199
0.048,20.945060802,148.03460854
0.049,20.965853559,148.07558963
0.05,20.98577207,148.11125242
0.051,21.004864158,148.14151264
0.052,21.023181456,148.16628504
0.053,21.040782325,148.18548444
0.054,21.057738706,148.19902943
0.055,21.074166152,148.20685849
0.056,21.090489045,148.20909556
0.057,21.120058012,148.20909623
0.058,21.153178362,148.20909689
0.059,21.190553299,148.20909755
0.06,21.231641591,148.20909821
0.061,21.276229294,148.20909887
0.062,21.324628678,148.20909952
0.063,21.377141809,148.20910018
0.064,21.433950811,148.20910083
0.065,21.495171852,148.20910147
0.066,21.560898428,148.20910212
0.067,21.631221481,148.20910276
0.068,21.706237587,148.2091034
0.069,21.786050594,148.20910403
0.07,21.870779837,148.20910466
0.071,21.960564698,148.20910529
0.072,22.055566353,148.20910592
0.073,22.155962606,148.20910654
0.074,22.261940999,148.20910715
0.075,22.37369169,148.20910777
0.076,22.491402007,148.20910837
0.077,22.615258749,148.20910898
0.078,22.74545235,148.20910958
0.079,22.882174911,148.20911017
0.08,23.025628908,148.20911076
0.081,23.176028736,148.20911134
0.082,23.333598922,148.20911192
0.083,23.498573948,148.20911249
0.084,23.671199772,148.20911306
0.085,23.851724788,148.20911362
0.086,24.040398256,148.20911417
0.087,24.237471668,148.20911471
0.088,24.443189245,148.20911525
0.089,24.657792916,148.20911579
0.09,24.881522208,148.20911631
0.091,25.114610393,148.20911683
0.092,25.357295864,148.20911734
0.093,25.609823009,148.20911784
0.094,25.872440689,148.20911833
0.095,26.14539461,148.20911881
0.096,26.428931585,148.20911929
0.097,26.723295188,148.20911975
0.098,27.028738027,148.20912021
0.099,27.345507569,148.20912065
0.1,27.673852603,148.20912109
0.101,28.014026374,148.20912151
0.102,28.366281657,148.20912192
0.103,28.730858342,148.20912233
0.104,29.107991764,148.20912272
0.105,29.497919035,148.20912309
0.106,29.900881637,148.20912346
0.107,30.317126485,148.20912381
0.108,30.746902788,148.20912415
0.109,31.190458492,148.20912448
0.11,31.64804354,148.20912479
0.111,32.119900222,148.20912509
0.112,32.606264803,148.20912538
0.113,33.107387824,148.20912565
0.114,33.623520715,148.2091259
0.115,34.154910342,148.20912614
0.116,34.701791785,148.20912636
0.117,35.264399354,148.20912656
0.118,35.842972557,148.20912675
0.119,36.437730783,148.20912692
0.12,37.048894923,148.20912708
0.121,37.676677388,148.20912721
0.122,38.321281472,148.20912733
0.123,38.982912746,148.20912743
0.124,39.661748656,148.2091275
0.125,40.357969906,148.20912756
0.126,41.071748854,148.2091276
0.127,41.803246363,148.20912761
0.128,42.552608855,148.20912761
0.129,43.319973842,148.20912758
0.13,44.105471913,148.20912753
0.131,44.909222921,148.20912746
0.132,45.731327757,148.20912736
0.133,46.571883397,148.20912724
0.134,47.430966686,148.2091271
0.135,48.30864719,148.20912693
0.136,49.204988459,148.20912673
0.137,50.120025194,148.20912651
0.138,51.053772422,148.20912627
0.139,52.00624301,148.209126
0.14,52.977427728,148.2091257
0.141,53.967296676,148.20912537
0.142,54.975807567,148.20912501
0.143,56.002908642,148.20912463
0.144,57.048521167,148.20912421
0.145,58.112554976,148.20912377
0.146,59.194907598,148.2091233
0.147,60.295455634,148.2091228
0.148,61.414059776,148.20912226
0.149,62.550551133,148.2091217
0.15,63.704738855,148.2091211
0.151,64.876422766,148.20912047
0.152,66.065356484,148.20911981
0.153,67.271229677,148.20911911
0.154,68.336383972,148.19131849
0.155,69.024314369,148.08713432
0.156,69.558757827,147.91639796
0.157,69.978943975,147.70271294
0.158,70.330724387,147.46088868
0.159,70.642782372,147.19989927
0.16,70.932848384,146.92515326
0.161,71.21204905,146.63984484
0.162,71.487265025,146.34581069
0.163,71.762659107,146.04407033
0.164,72.040445659,145.7351876
0.165,72.321467905,145.41951593
0.166,72.605733387,145.09734549
0.167,72.892831441,144.76897768
0.168,73.182352815,144.43473512
0.169,73.473986659,144.0949485
0.17,73.767604101,143.74993488
0.171,74.06317627,143.39998169
0.172,74.360660763,143.04534936
0.173,74.659976258,142.68627882
0.174,74.961066341,142.32299257
0.175,75.263786235,141.95570393
0.176,75.567977817,141.58462361
0.177,75.873451394,141.20996247
0.178,76.180097262,140.83192505
0.179,76.487784167,140.45070963
0.18,76.796408753,140.06650683
0.181,77.105855817,139.67950113
0.182,77.416021506,139.28986999
0.183,77.726766811,138.89778863
0.184,78.038005418,138.50342673
0.185,78.349616223,138.10694827
0.186,78.661507818,137.70851354
0.187,78.973587875,137.30827633
0.188,79.285747939,136.90638774
0.189,79.597919088,136.5029921
0.19,79.909994162,136.09823063
0.191,80.221872254,135.69224262
0.192,80.533477673,135.28516298
0.193,80.844733675,134.87712147
0.194,81.155578003,134.46824232
0.195,81.465932785,134.05864544
0.196,81.775662727,133.64845363
0.197,82.084704336,133.23778787
0.198,82.393012345,132.82676131
0.199,82.700515907,132.41548305
0.2,83.007156227,132.00405883
0.201,83.312842152,131.59259336
0.202,83.617503805,131.18119047
0.203,83.921069187,130.76995123
0.204,84.223465108,130.35897593
0.205,84.524655861,129.94835927
0.206,84.824560536,129.53819437
0.207,85.123097569,129.12857647
0.208,85.420238916,128.71959451
0.209,85.715909927,128.31133617
0.21,86.010102943,127.90388357
0.211,86.302730418,127.49731741
0.212,86.593727749,127.09172047
0.213,86.883096233,126.68716819
0.214,87.170776752,126.28373259
0.215,87.456751707,125.88148278
0.216,87.740992799,125.48048313
0.217,88.02341935,125.0807999
0.218,88.303977093,124.68250149
0.219,88.582634319,124.28565115
0.22,88.859371854,123.89031209
0.221,89.134136188,123.4965426
0.222,89.406880629,123.10440405
0.223,89.677572481,122.71395518
0.224,89.946202425,122.32525033
0.225,90.212743571,121.93834013
0.226,90.477152951,121.55327675
0.227,90.739422073,121.17010745
0.228,90.999502257,120.78888046
0.229,91.257353318,120.40964408
0.23,91.512926326,120.03244817
0.231,91.766224878,119.65733795
0.232,92.017226384,119.28435643
0.233,92.265885204,118.9135469
0.234,92.512181264,118.54495243
