time,pressure,volume
0,22.233822862,140.871151
0.001,28.738098393,143.0584567
0.002,29.631532912,145.11592628
0.003,30.674076072,146.97857436
0.004,31.461742009,148.68172958
0.005,32.154616852,150.24732749
0.006,32.821597673,151.68307512
0.007,33.453231913,152.99617153
0.008,34.036606178,154.195536
0.009,34.564301315,155.29103049
0.01,35.032377559,156.29292691
0.011,35.442646377,157.21121979
0.012,35.8042853,158.05467632
0.013,36.130993252,158.83014056
0.014,36.435371047,159.54254497
0.015,36.724665333,160.19556162
0.016,37.000153014,160.79243825
0.017,37.259361088,161.33659155
0.018,37.499132324,161.831787
0.019,37.717835954,162.28198194
0.02,37.916096585,162.691029
0.021,38.096242911,163.06242361
0.022,38.261165166,163.39919949
0.023,38.41326068,163.70397412
0.024,38.553880926,163.9790852
0.025,38.683377348,164.22673552
0.026,38.801534356,164.44908608
0.027,38.908101314,164.64827702
0.028,39.003180606,164.8263902
0.029,39.087365745,164.98538676
0.03,39.161654255,165.12705155
0.031,39.227233628,165.25296477
0.032,39.285258108,165.36450505
0.033,39.336720342,165.46287322
0.034,39.382422906,165.54912206
0.035,39.423000363,165.62418359
0.036,39.458970125,165.68888975
0.037,39.490781991,165.74398546
0.038,39.518853338,165.79013654
0.039,39.543594758,165.82793362
0.04,39.565409951,165.85789576
0.041,39.584697787,165.88047478
0.042,39.601855875,165.89606216
0.043,39.617304127,165.90500722
0.044,39.631723819,165.90775324
0.045,39.659382968,165.90775364
0.046,39.696779335,165.90775405
0.047,39.739865294,165.90775445
0.048,39.789252015,165.90775485
0.049,39.844870059,165.90775524
0.05,39.907073754,165.90775564
0.051,39.976164193,165.90775603
0.052,40.052373727,165.90775641
0.053,40.135929519,165.9077568
0.054,40.227082111,165.90775718
0.055,40.326135269,165.90775755
0.056,40.433444951,165.90775792
0.057,40.549418688,165.90775829
0.058,40.674473361,165.90775865
0.059,40.80901875,165.90775901
0.06,40.953478082,165.90775936
0.061,41.108269034,165.90775971
0.062,41.273812366,165.90776005
0.063,41.450539984,165.90776038
0.064,41.638911734,165.90776071
0.065,41.839409111,165.90776103
0.066,42.052539866,165.90776134
0.067,42.278807215,165.90776165
0.068,42.5187415,165.90776194
0.069,42.772885111,165.90776223
0.07,43.041783684,165.90776251
0.071,43.326019204,165.90776278
0.072,43.626194091,165.90776304
0.073,43.942898519,165.90776329
0.074,44.276705023,165.90776353
0.075,44.62819786,165.90776376
0.076,44.997970252,165.90776398
0.077,45.386613397,165.90776418
0.078,45.794710833,165.90776438
0.079,46.222846548,165.90776456
0.08,46.671597029,165.90776472
0.081,47.141559214,165.90776487
0.082,47.633321766,165.90776501
0.083,48.147485277,165.90776513
0.084,48.684617086,165.90776523
0.085,49.24529536,165.90776532
0.086,49.830095286,165.90776539
0.087,50.439627277,165.90776544
0.088,51.074448866,165.90776547
0.089,51.735144671,165.90776549
0.09,52.422301376,165.90776548
0.091,53.136538031,165.90776545
0.092,53.878496208,165.9077654
0.093,54.648823292,165.90776533
0.094,55.448168522,165.90776523
0.095,56.277198751,165.90776511
0.096,57.136589279,165.90776497
0.097,58.027052616,165.9077648
0.098,58.949281695,165.9077646
0.099,59.903964718,165.90776437
0.1,60.891795709,165.90776412
0.101,61.913475352,165.90776384
0.102,62.969677188,165.90776352
0.103,64.061081349,165.90776318
0.104,65.188371171,165.9077628
0.105,66.352247107,165.90776239
0.106,67.199353663,165.8530986
0.107,67.847608216,165.7092673
0.108,68.381860696,165.50119217
0.109,68.841926225,165.24668171
0.11,69.256385324,164.95745433
0.111,69.643119667,164.64136177
0.112,70.014313997,164.3036656
0.113,70.378179194,163.94787574
0.114,70.740014561,163.57634661
0.115,71.102948266,163.19070587
0.116,71.468598618,162.79214974
0.117,71.837678253,162.38162444
0.118,72.210488906,161.95992175
0.119,72.587211698,161.52771884
0.12,72.968036643,161.08559243
0.121,73.353111409,160.63403272
0.122,73.742510331,160.1734616
0.123,74.136226371,159.70425201
0.124,74.534192762,159.22673918
0.125,74.93626639,158.74123794
0.126,75.342386255,158.24803604
0.127,75.752392862,157.74740476
0.128,76.166150915,157.23960429
0.129,76.583560592,156.72487672
0.13,77.004484685,156.20345357
0.131,77.428846008,155.67555127
0.132,77.856499756,155.14137667
0.133,78.287282107,154.60113468
0.134,78.721113173,154.05501846
0.135,79.157834187,153.50321639
0.136,79.597298977,152.94591567
0.137,80.039410604,152.38329479
0.138,80.484017157,151.81552987
0.139,80.930962787,151.24279633
0.14,81.380066768,150.66527264
0.141,81.831181592,150.08313694
0.142,82.284151945,149.49656639
0.143,82.738856037,148.90573544
0.144,83.19518329,148.3108126
0.145,83.652966766,147.71196702
0.146,84.11206064,147.10936796
0.147,84.572259768,146.50319122
0.148,85.033452231,145.89360925
0.149,85.495485995,145.28079349
0.15,85.958223727,144.6649151
0.151,86.42151735,144.04614346
0.152,86.885190525,143.42465242
0.153,87.349123094,142.8006125
0.154,87.813168208,142.17419395
0.155,88.277160495,141.54556826
0.156,88.740976058,140.91490662
0.157,89.204531009,140.28237176
0.158,89.667620948,139.64813108
0.159,90.1301634,139.01234926
0.16,90.592002355,138.37518887
0.161,91.053030356,137.73681216
0.162,91.513161906,137.09737247
0.163,91.972267198,136.45702469
0.164,92.430268924,135.81591596
0.165,92.887042209,135.17419236
0.166,93.342507832,134.53199633
0.167,93.796558718,133.8894677
0.168,94.249137931,133.24673959
0.169,94.700149046,132.60394056
0.17,95.149464661,131.96120324
0.171,95.597026163,131.3186547
0.172,96.042774161,130.67641482
0.173,96.486632581,130.03459977
0.174,96.928479584,129.39332972
0.175,97.368299195,128.75271455
0.176,97.805969886,128.1128661
0.177,98.241469955,127.47389046
0.178,98.674734389,126.8358881
0.179,99.10571384,126.19895646
0.18,99.534322676,125.56319276
0.181,99.960494808,124.92869245
0.182,100.38416133,124.29554988
0.183,100.80526093,123.66385758
0.184,101.22373743,123.03370561
0.185,101.63953621,122.40518219
0.186,102.05261281,121.77837183
0.187,102.46290809,121.15335714
0.188,102.87038532,120.53021818
0.189,103.2749933,119.90903237
0.19,103.67665679,119.28987803
0.191,104.07535044,118.67283089
0.192,104.47103994,118.05796206
