time,pressure,volume
0,18.193895764,140.871151
0.001,20.27186279,141.61790758
0.002,20.498484397,142.33942055
0.003,20.790801089,143.00943078
0.004,21.000562028,143.63829966
0.005,21.182396421,144.23254103
0.006,21.366982602,144.79291678
0.007,21.54923028,145.31999792
0.008,21.72002472,145.81561554
0.009,21.876106938,146.28220093
0.01,22.018149755,146.72214351
0.011,22.147768889,147.13757752
0.012,22.266218558,147.53040753
0.013,22.374404687,147.90236733
0.014,22.473294783,148.25502892
0.015,22.564107712,148.58977625
0.016,22.648183262,148.90778758
0.017,22.726708638,149.21005192
0.018,22.800504866,149.49741675
0.019,22.869990064,149.77064517
0.02,22.935281649,150.03046173
0.021,22.99638725,150.27757396
0.022,23.053389708,150.51266767
0.023,23.106561692,150.73638495
0.024,23.15638872,150.9492966
0.025,23.203499865,151.15188206
0.026,23.248551692,151.34452428
0.027,23.292104815,151.52752131
0.028,23.334538743,151.70111025
0.029,23.376019163,151.86549658
0.03,23.416514731,152.02088184
0.031,23.455869628,152.16748262
0.032,23.493893008,152.30553718
0.033,23.530437661,152.43530094
0.034,23.565445932,152.55703503
0.035,23.598967533,152.6709919
0.036,23.631149369,152.77740194
0.037,23.662202357,152.87646445
0.038,23.692373817,152.96834277
0.039,23.721916656,153.05316371
0.04,23.751076101,153.13101935
0.041,23.780075535,153.20197054
0.042,23.80911085,153.26605148
0.043,23.838363664,153.32327303
0.044,23.867997985,153.37362554
0.045,23.898164755,153.41708173
0.046,23.929013023,153.45359815
0.047,23.960691977,153.48311645
0.048,23.993356503,153.5055653
0.049,24.02718082,153.52086476
0.05,24.062403114,153.52894951
0.051,24.100383852,153.5303215
0.052,24.162365298,153.53032211
0.053,24.228524209,153.53032271
0.054,24.303208527,153.5303233
0.055,24.385850926,153.5303239
0.056,24.476691797,153.53032449
0.057,24.576307869,153.53032508
0.058,24.685185029,153.53032566
0.059,24.803698156,153.53032624
0.06,24.932190617,153.53032681
0.061,25.071010972,153.53032738
0.062,25.22053894,153.53032794
0.063,25.381193712,153.5303285
0.064,25.553431578,153.53032905
0.065,25.73775834,153.5303296
0.066,25.934712957,153.53033014
0.067,26.144872734,153.53033067
0.068,26.368839361,153.53033119
0.069,26.607221537,153.53033171
0.07,26.860648274,153.53033222
0.071,27.129761914,153.53033272
0.072,27.415232296,153.53033321
0.073,27.717752187,153.53033369
0.074,28.038037295,153.53033417
0.075,28.376818799,153.53033463
0.076,28.734852742,153.53033508
0.077,29.112895227,153.53033552
0.078,29.511755104,153.53033595
0.079,29.932262097,153.53033636
0.08,30.37530588,153.53033676
0.081,30.841780129,153.53033715
0.082,31.33258836,153.53033752
0.083,31.848660901,153.53033788
0.084,32.39094157,153.53033822
0.085,32.960402736,153.53033854
0.086,33.558066994,153.53033885
0.087,34.184926951,153.53033914
0.088,34.841985471,153.53033941
0.089,35.530282828,153.53033966
0.09,36.250893022,153.53033989
0.091,37.004932015,153.5303401
0.092,37.793567398,153.53034029
0.093,38.617886008,153.53034045
0.094,39.479028171,153.53034059
0.095,40.378161583,153.5303407
0.096,41.316516564,153.53034078
0.097,42.295301553,153.53034084
0.098,43.315756619,153.53034087
0.099,44.379107413,153.53034087
0.1,45.486597499,153.53034084
0.101,46.639440491,153.53034078
0.102,47.83887863,153.53034068
0.103,49.086129284,153.53034055
0.104,50.382406921,153.53034038
0.105,51.728922774,153.53034017
0.106,53.126851226,153.53033993
0.107,54.577328287,153.53033965
0.108,56.081494107,153.53033932
0.109,57.640477845,153.53033895
0.11,59.255365405,153.53033854
0.111,60.927186722,153.53033808
0.112,62.65693126,153.53033757
0.113,64.44554503,153.53033702
0.114,66.012213983,153.49746509
0.115,67.070797547,153.32564328
0.116,67.916659137,153.04836722
0.117,68.603697037,152.69973459
0.118,69.191008215,152.30208424
0.119,69.718398413,151.86960712
0.12,70.212652729,151.41111578
0.121,70.691185131,150.93193319
0.122,71.164645573,150.43522821
0.123,71.639200228,149.92289676
0.124,72.118041889,149.39612552
0.125,72.602459778,148.85574985
0.126,73.09279165,148.30244073
0.127,73.588852257,147.73680301
0.128,74.090413032,147.15940278
0.129,74.597283464,146.57076574
0.13,75.109250942,145.97138332
0.131,75.626141969,145.36171532
0.132,76.147859057,144.74218082
0.133,76.67418997,144.11317351
0.134,77.20486667,143.47507701
0.135,77.739751695,142.82824991
0.136,78.278546031,142.17304267
0.137,78.8210853,141.50979178
0.138,79.367064233,140.83882772
0.139,79.916264807,140.1604761
0.14,80.46843384,139.4750544
0.141,81.023344977,138.78287474
0.142,81.580734796,138.08424504
0.143,82.140318871,137.37947496
0.144,82.701796004,136.66887597
0.145,83.264871169,135.95276443
0.146,83.829347463,135.23144709
0.147,84.395007189,134.50522457
0.148,84.961526211,133.77440036
0.149,85.528623104,133.03928375
0.15,86.096090003,132.30017722
0.151,86.663780509,131.55736896
0.152,87.231405852,130.81114857
0.153,87.798694257,130.06180809
0.154,88.365440585,129.30963741
0.155,88.931439954,128.55491847
0.156,89.496475235,127.7979307
0.157,90.060376518,127.0389447
0.158,90.622982777,126.2782231
0.159,91.184141521,125.51601826
0.16,91.743640389,124.75258138
0.161,92.301364824,123.98815281
0.162,92.857118949,123.22296871
0.163,93.410706766,122.45726546
0.164,93.961930681,121.69127781
0.165,94.510636525,120.92523828
0.166,95.056726502,120.15936587
0.167,95.599955013,119.39388416
0.168,96.140224614,118.62900796
0.169,96.677391715,117.86494885
0.17,97.211370663,117.10190446
0.171,97.74182763,116.34008777
0.172,98.268711452,115.57970758
