time,pressure,volume
0,16.561405494,140.871151
0.001,16.590789548,140.87115163
0.002,16.596012442,140.87115225
0.003,16.599107004,140.87115288
0.004,16.59947051,140.87115351
0.005,16.598397878,140.87115413
0.006,16.596387125,140.87115476
0.007,16.593841004,140.87115539
0.008,16.59132567,140.87115601
0.009,16.589382086,140.87115664
0.01,16.588394396,140.87115727
0.011,16.588517041,140.87115789
0.012,16.589670789,140.87115852
0.013,16.591593792,140.87115915
0.014,16.593940123,140.87115978
0.015,16.59635781,140.8711604
0.016,16.598558583,140.87116103
0.017,16.600369064,140.87116166
0.018,16.601767636,140.87116229
0.019,16.602857308,140.87116292
0.02,16.603805116,140.87116355
0.021,16.604782124,140.87116418
0.022,16.60591882,140.87116481
0.023,16.607287623,140.87116544
0.024,16.608909447,140.87116607
0.025,16.610774354,140.87116671
0.026,16.612865116,140.87116734
0.027,16.615175031,140.87116797
0.028,16.617716909,140.87116861
0.029,16.620523789,140.87116924
0.03,16.623648695,140.87116987
0.031,16.627158408,140.87117051
0.032,16.631129205,140.87117114
0.033,16.635644593,140.87117178
0.034,16.640791923,140.87117241
0.035,16.646662101,140.87117305
0.036,16.65335235,140.87117369
0.037,16.660966429,140.87117432
0.038,16.669615453,140.87117496
0.039,16.679417868,140.8711756
0.04,16.690499437,140.87117623
0.041,16.702991834,140.87117687
0.042,16.717033066,140.87117751
0.043,16.732766608,140.87117815
0.044,16.750341244,140.87117878
0.045,16.769910581,140.87117942
0.046,16.791632568,140.87118006
0.047,16.815669591,140.87118069
0.048,16.84218934,140.87118133
0.049,16.871365541,140.87118197
0.05,16.903376227,140.8711826
0.051,16.938403243,140.87118324
0.052,16.976633193,140.87118387
0.053,17.018255838,140.8711845
0.054,17.06346582,140.87118513
0.055,17.112465364,140.87118576
0.056,17.165463543,140.87118639
0.057,17.222676424,140.87118702
0.058,17.284326892,140.87118765
0.059,17.350641927,140.87118827
0.06,17.421854564,140.8711889
0.061,17.498204649,140.87118952
0.062,17.579939869,140.87119014
0.063,17.667317135,140.87119076
0.064,17.76060404,140.87119137
0.065,17.86007797,140.87119198
0.066,17.966027902,140.87119259
0.067,18.078754002,140.8711932
0.068,18.198566012,140.8711938
0.069,18.325782637,140.8711944
0.07,18.460731768,140.871195
0.071,18.60374631,140.87119559
0.072,18.755168652,140.87119618
0.073,18.915349425,140.87119676
0.074,19.084649298,140.87119734
0.075,19.263429044,140.87119792
0.076,19.452051942,140.87119849
0.077,19.650885794,140.87119905
0.078,19.860295501,140.87119961
0.079,20.080651784,140.87120016
0.08,20.312327401,140.87120071
0.081,20.555713611,140.87120125
0.082,20.811211109,140.87120178
0.083,21.079226562,140.8712023
0.084,21.360168194,140.87120282
0.085,21.65445349,140.87120333
0.086,21.962501418,140.87120383
0.087,22.284731158,140.87120432
0.088,22.621566053,140.87120481
0.089,22.973425073,140.87120528
0.09,23.340717564,140.87120574
0.091,23.723862377,140.87120619
0.092,24.12329031,140.87120663
0.093,24.539440856,140.87120706
0.094,24.972750513,140.87120748
0.095,25.423629471,140.87120789
0.096,25.892500175,140.87120828
0.097,26.379807104,140.87120866
0.098,26.885995124,140.87120902
0.099,27.411506879,140.87120937
0.1,27.956772068,140.87120971
0.101,28.522239294,140.87121003
0.102,29.108336954,140.87121033
0.103,29.715471819,140.87121062
0.104,30.344065558,140.87121089
0.105,30.994525566,140.87121114
0.106,31.66725717,140.87121138
0.107,32.362616431,140.87121159
0.108,33.080963388,140.87121179
0.109,33.822666459,140.87121197
0.11,34.58805945,140.87121212
0.111,35.377465042,140.87121225
0.112,36.191212253,140.87121236
0.113,37.029616257,140.87121245
0.114,37.892938281,140.87121252
0.115,38.781438664,140.87121256
0.116,39.695383032,140.87121257
0.117,40.634990425,140.87121256
0.118,41.600468716,140.87121252
0.119,42.591996879,140.87121246
0.12,43.609723437,140.87121237
0.121,44.653799579,140.87121225
0.122,45.724331164,140.8712121
0.123,46.821398732,140.87121192
0.124,47.945070082,140.87121171
0.125,49.095379722,140.87121147
0.126,50.272349867,140.8712112
0.127,51.475978929,140.8712109
0.128,52.706223003,140.87121056
0.129,53.963024342,140.87121019
0.13,55.246290688,140.87120978
0.131,56.555888994,140.87120934
0.132,57.891624015,140.87120886
0.133,59.253230136,140.87120834
0.134,60.640414327,140.87120779
0.135,62.052800171,140.8712072
0.136,63.489908104,140.87120657
0.137,64.951202403,140.8712059
0.138,65.867481125,140.78782726
0.139,66.575605838,140.60887219
0.14,67.11357113,140.3678893
0.141,67.54434254,140.08744341
0.142,67.913364788,139.78105262
0.143,68.247958327,139.45673681
0.144,68.565034777,139.11916803
0.145,68.875098636,138.77096857
0.146,69.184466713,138.4135365
0.147,69.49659574,138.04758462
0.148,69.812944611,137.67349983
0.149,70.133679485,137.29156627
0.15,70.458258221,136.90208737
0.151,70.785982002,136.50541982
0.152,71.116251204,136.10196074
0.153,71.448659274,135.69212143
0.154,71.783004919,135.2762984
0.155,72.11914594,134.85486201
0.156,72.456981295,134.42815535
0.157,72.796386692,133.99649698
0.158,73.137204057,133.56018876
0.159,73.479223204,133.11952417
0.16,73.822269747,132.67478731
0.161,74.166173509,132.22625175
0.162,74.510773525,131.77418219
0.163,74.855945459,131.31882957
0.164,75.201542263,130.86043506
0.165,75.547431482,130.39923078
0.166,75.893520496,129.93543546
0.167,76.239649633,129.46926122
0.168,76.585666563,129.00091712
0.169,76.931452458,128.53060546
0.17,77.276887002,128.05852032
0.171,77.621833071,127.58485232
0.172,77.966161919,127.1097866
0.173,78.309746666,126.63350589
0.174,78.652564103,126.15617748
0.175,78.994471664,125.6779643
0.176,79.335314463,125.19903256
0.177,79.675062452,124.71953631
0.178,80.013576583,124.23962844
0.179,80.350844364,123.75945005
0.18,80.686726916,123.27913953
0.181,81.021116562,122.79883709
0.182,81.354006911,122.31867013
0.183,81.685345592,121.83875768
0.184,82.015006984,121.35921928
0.185,82.342925563,120.88017285
0.186,82.669001326,120.4017349
0.187,82.993217566,119.92401394
0.188,83.315476862,119.44711598
0.189,83.635730066,118.97114551
0.19,83.953916302,118.49620179
0.191,84.269973888,118.02238083
0.192,84.583858811,117.54977662
0.193,84.895534011,117.0784757
0.194,85.204933459,116.60856422
0.195,85.512023147,116.14012486
0.196,85.816734617,115.67323873
0.197,86.119019603,115.20798545
0.198,86.418806769,114.74444492
0.199,86.716077107,114.28269216
0.2,87.010779021,113.82280089
0.201,87.302883147,113.36484083
0.202,87.592349235,112.90887967
0.203,87.879160149,112.45498092
0.204,88.163277204,112.00320577
0.205,88.44463915,111.55361624
0.206,88.723239588,111.10627098
0.207,88.999050431,110.66122538
0.208,89.272046917,110.21853233
0.209,89.542199443,109.77824322
0.21,89.809480601,109.34040789
0.211,90.073865554,108.90507448
0.212,90.335331882,108.47228933
0.213,90.59385919,108.04209689
0.214,90.849428848,107.6145397
0.215,91.102023837,107.18965842
0.216,91.351628633,106.7674918
0.217,91.598229106,106.34807675
0.218,91.841812435,105.93144836
0.219,92.082367037,105.51763996
0.22,92.319882536,105.10668313
0.221,92.554349725,104.69860777
0.222,92.785760552,104.29344213
0.223,93.014108087,103.89121286
0.224,93.239386485,103.49194503
0.225,93.461590951,103.09566217
0.226,93.680717687,102.70238635
0.227,93.896763848,102.31213816
0.228,94.109727497,101.92493681
0.229,94.319607564,101.54080012
0.23,94.526403805,101.15974462
0.231,94.730116759,100.78178556
0.232,94.930747714,100.40693695
0.233,95.128298665,100.03521163
0.234,95.322772271,99.666621274
0.235,95.514171827,99.301176486
0.236,95.70250122,98.938886805
0.237,95.887764894,98.579760758
0.238,96.069967823,98.223805911
0.239,96.24911547,97.871028898
0.24,96.425213761,97.521435476
0.241,96.598269057,97.175030555
0.242,96.768287684,96.831818278
0.243,96.935276506,96.491802082
0.244,97.099243422,96.154984616
0.245,97.260195689,95.821367884
0.246,97.418141643,95.490953229
0.247,97.573088862,95.163741421
0.248,97.725044429,94.83973283
0.249,97.874015591,94.518927451
0.25,98.020010478,94.20132485
0.251,98.16303638,93.886924264
0.252,98.303100019,93.575724724
0.253,98.440207089,93.267725192
0.254,98.574363555,92.962924606
0.255,98.705577379,92.661321636
0.256,98.833855069,92.362914777
0.257,98.959200922,92.067702685
0.258,99.081621907,91.775683976
0.259,99.201123444,91.486857161
0.26,99.317705547,91.201221421
0.261,99.431369509,90.91877646
0.262,99.542116031,90.63952255
0.263,99.649947689,90.36346021
0.264,99.754862661,90.090590587
0.265,99.856855338,89.820915875
0.266,99.95591405,89.55444001
0.267,100.0520352,89.291167901
0.268,100.14522256,89.03110419
0.269,100.23547693,88.774253363
0.27,100.32279281,88.520620489
0.271,100.40716438,88.270211559
0.272,100.48859128,88.023032681
0.273,100.56707303,87.779089899
0.274,100.64259998,87.538390114
0.275,100.7151602,87.300941653
0.276,100.78474921,87.066753377
0.277,100.85136012,86.835834424
0.278,100.91497842,86.608195311
0.279,100.97559917,86.383847019
0.28,101.03321627,86.162800479
0.281,101.08781635,85.945067669
0.282,101.13938634,85.730661476
0.283,101.18790989,85.519596096
0.284,101.2333726,85.31188663
0.285,101.27575491,85.107549521
0.286,101.31502197,84.906604035
0.287,101.35115319,84.709071226
0.288,101.38412616,84.514973227
0.289,101.41392984,84.324332194
0.29,101.44054461,84.137170627
0.291,101.46395121,83.953511764
0.292,101.48414204,83.773378416
0.293,101.50109045,83.596794158
0.294,101.51475818,83.423785234
0.295,101.52511835,83.254379649
0.296,101.53213997,83.088606784
0.297,101.53578152,82.926498405
0.298,101.53599046,82.768089999
0.299,101.53271492,82.613420709
0.3,101.52592108,82.462530969
0.301,101.51557324,82.315462022
0.302,101.50163663,82.1722558
0.303,101.48407866,82.032954462
0.304,101.46285431,81.897601905
0.305,101.43792144,81.766243309
0.306,101.40922853,81.638925837
0.307,101.37670933,81.515700833
0.308,101.34032062,81.39662056
0.309,101.30000076,81.281739887
0.31,101.25568097,81.171117157
0.311,101.20728821,81.06481418
0.312,101.15474679,80.962896771
0.313,101.09799457,80.865432784
0.314,101.03694879,80.77249301
0.315,100.97151604,80.684153442
0.316,100.90161482,80.600493744
0.317,100.8271875,80.52159344
0.318,100.74816421,80.4475329
0.319,100.6644663,80.378394146
0.32,100.5759699,80.314265797
0.321,100.48258193,80.255241043
0.322,100.38420663,80.201415252
0.323,100.28072536,80.15288888
0.324,100.17202083,80.10976779
0.325,100.05798991,80.072160038
0.326,99.938532504,80.040175128
0.327,99.813533984,80.013924263
0.328,99.682858903,79.993521096
0.329,99.546346094,79.97907994
0.33,99.403751086,79.970703746
0.331,99.253468623,79.968376191
0.332,99.045466714,79.968375096
0.333,98.796800907,79.968374006
0.334,98.510594228,79.968372922
0.335,98.190890226,79.968371846
0.336,97.84153282,79.968370777
0.337,97.465594589,79.968369716
0.338,97.06583096,79.968368665
0.339,96.644908009,79.968367623
0.34,96.205388038,79.968366592
0.341,95.749616009,79.968365572
0.342,95.279649652,79.968364563
0.343,94.797238714,79.968363565
0.344,94.303845516,79.968362579
0.345,93.800641842,79.968361605
0.346,93.2886664,79.968360644
0.347,92.768792833,79.968359695
0.348,92.241791857,79.968358759
0.349,91.708331347,79.968357836
0.35,91.168957257,79.968356925
0.351,90.624114423,79.968356028
0.352,90.074147752,79.968355145
0.353,89.519301138,79.968354275
0.354,88.95980658,79.968353418
0.355,88.395807213,79.968352575
0.356,87.827449515,79.968351746
0.357,87.254841195,79.968350931
0.358,86.678085109,79.968350131
0.359,86.097256458,79.968349344
0.36,85.512407741,79.968348572
0.361,84.92358651,79.968347814
0.362,84.330885904,79.96834707
0.363,83.734375451,79.968346341
0.364,83.134122697,79.968345627
0.365,82.530197394,79.968344928
0.366,81.922673307,79.968344244
0.367,81.311644839,79.968343575
0.368,80.697209593,79.968342921
0.369,80.079480603,79.968342282
0.37,79.458554857,79.968341658
0.371,78.834531675,79.96834105
0.372,78.207543195,79.968340457
0.373,77.577728505,79.96833988
0.374,76.945209744,79.968339318
0.375,76.310099677,79.968338772
0.376,75.672541014,79.968338242
0.377,75.032708029,79.968337727
0.378,74.390742196,79.968337229
0.379,73.746790328,79.968336746
0.38,73.100994853,79.96833628
0.381,72.453521604,79.968335829
0.382,71.804528335,79.968335394
0.383,71.154166155,79.968334976
0.384,70.502573034,79.968334574
0.385,69.849877998,79.968334187
0.386,69.196221372,79.968333818
0.387,68.541754726,79.968333464
0.388,67.886653138,79.968333126
0.389,67.231080639,79.968332805
0.39,66.575172052,79.9683325
0.391,65.91905346,79.968332212
0.392,65.262877385,79.968331939
0.393,64.606791951,79.968331683
0.394,63.950931789,79.968331443
0.395,63.295430156,79.96833122
0.396,62.640415729,79.968331013
0.397,61.986014006,79.968330822
0.398,61.332340829,79.968330647
0.399,60.679523956,79.968330488
0.4,60.027679037,79.968330346
0.401,59.376920695,79.96833022
0.402,58.727371238,79.96833011
0.403,58.079146927,79.968330016
0.404,57.432359609,79.968329938
0.405,56.787105846,79.968329876
0.406,56.143493845,79.96832983
0.407,55.501639151,79.9683298
